sample_id	lang	clip_image_emb_path	clip_text_emb_path	clip_caption_emb_path	bert_text_emb_path	bert_caption_emb_path	hard_label_task4	soft_label_task4	gender_annotators	ethnicities_annotators	study_levels_annotators	countries_annotators
110001	es	./data/EXIST2024/embeddings/training/clip_image/110001.npz	./data/EXIST2024/embeddings/training/clip_text/110001.npz	./data/EXIST2024/embeddings/training/clip_caption/110001.npz	./data/EXIST2024/embeddings/training/bert_text/110001.npz	./data/EXIST2024/embeddings/training/bert_caption/110001.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110002	es	./data/EXIST2024/embeddings/training/clip_image/110002.npz	./data/EXIST2024/embeddings/training/clip_text/110002.npz	./data/EXIST2024/embeddings/training/clip_caption/110002.npz	./data/EXIST2024/embeddings/training/bert_text/110002.npz	./data/EXIST2024/embeddings/training/bert_caption/110002.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110003	es	./data/EXIST2024/embeddings/training/clip_image/110003.npz	./data/EXIST2024/embeddings/training/clip_text/110003.npz	./data/EXIST2024/embeddings/training/clip_caption/110003.npz	./data/EXIST2024/embeddings/training/bert_text/110003.npz	./data/EXIST2024/embeddings/training/bert_caption/110003.npz	0	0.3333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110004	es	./data/EXIST2024/embeddings/training/clip_image/110004.npz	./data/EXIST2024/embeddings/training/clip_text/110004.npz	./data/EXIST2024/embeddings/training/clip_caption/110004.npz	./data/EXIST2024/embeddings/training/bert_text/110004.npz	./data/EXIST2024/embeddings/training/bert_caption/110004.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110005	es	./data/EXIST2024/embeddings/training/clip_image/110005.npz	./data/EXIST2024/embeddings/training/clip_text/110005.npz	./data/EXIST2024/embeddings/training/clip_caption/110005.npz	./data/EXIST2024/embeddings/training/bert_text/110005.npz	./data/EXIST2024/embeddings/training/bert_caption/110005.npz	0	0.3333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110006	es	./data/EXIST2024/embeddings/training/clip_image/110006.npz	./data/EXIST2024/embeddings/training/clip_text/110006.npz	./data/EXIST2024/embeddings/training/clip_caption/110006.npz	./data/EXIST2024/embeddings/training/bert_text/110006.npz	./data/EXIST2024/embeddings/training/bert_caption/110006.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110007	es	./data/EXIST2024/embeddings/training/clip_image/110007.npz	./data/EXIST2024/embeddings/training/clip_text/110007.npz	./data/EXIST2024/embeddings/training/clip_caption/110007.npz	./data/EXIST2024/embeddings/training/bert_text/110007.npz	./data/EXIST2024/embeddings/training/bert_caption/110007.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110008	es	./data/EXIST2024/embeddings/training/clip_image/110008.npz	./data/EXIST2024/embeddings/training/clip_text/110008.npz	./data/EXIST2024/embeddings/training/clip_caption/110008.npz	./data/EXIST2024/embeddings/training/bert_text/110008.npz	./data/EXIST2024/embeddings/training/bert_caption/110008.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110009	es	./data/EXIST2024/embeddings/training/clip_image/110009.npz	./data/EXIST2024/embeddings/training/clip_text/110009.npz	./data/EXIST2024/embeddings/training/clip_caption/110009.npz	./data/EXIST2024/embeddings/training/bert_text/110009.npz	./data/EXIST2024/embeddings/training/bert_caption/110009.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110010	es	./data/EXIST2024/embeddings/training/clip_image/110010.npz	./data/EXIST2024/embeddings/training/clip_text/110010.npz	./data/EXIST2024/embeddings/training/clip_caption/110010.npz	./data/EXIST2024/embeddings/training/bert_text/110010.npz	./data/EXIST2024/embeddings/training/bert_caption/110010.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
